Category1,Category2,Source1,Source2,Agreement,J,D
appetite regulation,appetite,OpenAIRE,OpenAlex,0.625,1,1
context (language use),context (archaeology),OpenAIRE,OpenAlex,0.5295036445678584,1,1
pascal (programming language),pascal (unit),OpenAIRE,OpenAlex,0.5460122699386503,0,0
lasso (statistics),lasso (programming language),OpenAIRE,OpenAlex,0.5068493150684932,0,0
control theory,control theory (sociology),OpenAIRE,OpenAlex,0.663732791694877,1,1
force field (chemistry),force field (fiction),OpenAIRE,OpenAlex,0.5208333333333334,0,0
stimulus (physiology),stimulus (psychology),OpenAIRE,OpenAlex,0.5504782146652497,1,1
light-emitting diode,led lamp,OpenAIRE,OpenAlex,0.5384615384615384,1,1
bankruptcy prediction,bankruptcy,OpenAIRE,OpenAlex,0.6307692307692307,1,1
albedo,albedo (alchemy),OpenAIRE,OpenAlex,0.6111111111111112,1,1
residue (complex analysis),residue (chemistry),OpenAIRE,OpenAlex,0.5384615384615384,1,1
maximum power point tracking,maximum power principle,OpenAIRE,OpenAlex,0.5812807881773399,1,1
delphi method,delphi,OpenAIRE,OpenAlex,0.5699658703071673,1,1
interpolation,interpolation (computer graphics),OpenAIRE,OpenAlex,0.5346097201767305,1,1
tourism leisure and hospitality management,tourism,OpenAIRE,OpenAlex,0.542528735632184,1,1
bearing (mechanical),bearing (navigation),OpenAIRE,OpenAlex,0.584717607973422,1,1
fault (power engineering),fault (geology),OpenAIRE,OpenAlex,0.5446153846153846,0,0
sustainability,sustainability,OpenAIRE,OpenAlex,0.5076923076923077,-1,-1
homogenization (chemistry),homogenization (climate),OpenAIRE,OpenAlex,0.6842105263157895,1,1
docking (molecular),docking (animal),OpenAIRE,OpenAlex,0.7916666666666666,0,0
charismatic authority,charisma,OpenAIRE,OpenAlex,0.6363636363636364,1,1
indentation,nanoindentation,OpenAIRE,OpenAlex,0.5384615384615384,1,1
video quality,subjective video quality,OpenAIRE,OpenAlex,0.5609756097560976,1,1
watermark,digital watermarking,OpenAIRE,OpenAlex,0.5508021390374331,1,1
digital watermarking,watermark,OpenAIRE,OpenAlex,0.5187165775401069,1,1
container (abstract data type),container (type theory),OpenAIRE,OpenAlex,0.5769230769230769,1,1
grapheme-color synesthesia,synesthesia,OpenAIRE,OpenAlex,0.5555555555555556,1,1
pulsar timing array,pulsar,OpenAIRE,OpenAlex,0.5384615384615384,1,1
gamma diversity,alpha diversity,OpenAIRE,OpenAlex,0.6153846153846154,1,1
laparoscopic surgery,laparoscopy,OpenAIRE,OpenAlex,0.5581395348837209,1,1
traffic flow,traffic flow (computer networking),OpenAIRE,OpenAlex,0.5217391304347826,1,1
intelligibility (communication),intelligibility (philosophy),OpenAIRE,OpenAlex,0.5172413793103449,1,1
mendelian randomization analysis,mendelian randomization,OpenAIRE,OpenAlex,0.5555555555555556,1,1
active packaging,food packaging,OpenAIRE,OpenAlex,0.6666666666666666
credit card fraud,credit card,OpenAIRE,OpenAlex,0.5142857142857142
visual cryptography,secret sharing,OpenAIRE,OpenAlex,0.6666666666666666
brand management,brand equity,OpenAIRE,OpenAlex,0.5384615384615384
priming (psychology),priming (agriculture),OpenAIRE,OpenAlex,0.5989010989010989
cartilage articular,cartilage,OpenAIRE,OpenAlex,0.5882352941176471
diesel engine,turbocharger,OpenAIRE,OpenAlex,0.5454545454545454
residual feed intake,feed conversion ratio,OpenAIRE,OpenAlex,0.8
desorption electrospray ionization,chemical ionization,OpenAIRE,OpenAlex,0.625
fundus (eye),fundus (uterus),OpenAIRE,OpenAlex,0.6504854368932039
right bundle branch block,left bundle branch block,OpenAIRE,OpenAlex,0.6153846153846154
inattentional blindness,change blindness,OpenAIRE,OpenAlex,0.5652173913043478
dna transposable elements,transposable element,OpenAIRE,OpenAlex,0.5370370370370371
basal cell carcinoma,basal cell,OpenAIRE,OpenAlex,0.5384615384615384
ray tracing (graphics),ray tracing (physics),OpenAIRE,OpenAlex,0.575
peppered moth,melanism,OpenAIRE,OpenAlex,0.8571428571428571
paraxial mesoderm,mesoderm,OpenAIRE,OpenAlex,0.7222222222222222
paraxial mesoderm,embryonic stem cell,OpenAIRE,OpenAlex,0.52
nephropathy,contrast-induced nephropathy,OpenAIRE,OpenAlex,0.6363636363636364
flocking (behavior),flocking (texture),OpenAIRE,OpenAlex,0.6756756756756757
probiotics,probiotic,OpenAIRE,OpenAlex,0.6666666666666666
diverticulitis colonic,diverticulitis,OpenAIRE,OpenAlex,0.625
traffic sign recognition,traffic sign,OpenAIRE,OpenAlex,0.5454545454545454
huntington disease,huntington's disease,OpenAIRE,OpenAlex,0.6363636363636364
lymph nodes,lymph node,OpenAIRE,OpenAlex,0.6
cochlear implants,cochlear implant,OpenAIRE,OpenAlex,0.6153846153846154
privilege (social inequality),privilege (computing),OpenAIRE,OpenAlex,0.5714285714285714
telomerase,telomere,OpenAIRE,OpenAlex,0.6
anterior cruciate ligament injuries,anterior cruciate ligament,OpenAIRE,OpenAlex,0.5714285714285714
antiparallel (biochemistry),antiparallel (mathematics),OpenAIRE,OpenAlex,0.6666666666666666
critical illness,critically ill,OpenAIRE,OpenAlex,0.5384615384615384
directed evolution,directed molecular evolution,OpenAIRE,OpenAlex,0.5384615384615384
molding (process),molding (decorative),OpenAIRE,OpenAlex,0.625
round-robin scheduling,two-level scheduling,OpenAIRE,OpenAlex,0.6363636363636364
dengue virus,dengue fever,OpenAIRE,OpenAlex,0.5833333333333334
octopus,octopus (software),OpenAIRE,OpenAlex,0.5454545454545454
dissolved gas analysis,transformer oil,OpenAIRE,OpenAlex,0.8333333333333334
regularized meshless method,singular boundary method,OpenAIRE,OpenAlex,0.5454545454545454
aphasia primary progressive,primary progressive aphasia,OpenAIRE,OpenAlex,0.8571428571428571
